순번,자치구,구역명,위치,,사업방법,,,사업추진단계,기존 가구수(멸실량),추진단계,,,,,,,,,,,,공급형태별 건립세대수 (공급량),,
,,,,,,,,,,,,,,,,,,,,,,총합계,분양,임대
,,,,,,,,,,"구역지정
(아파트 지구는 정비계획 수립)",,추진위원회,"조합설립인가
(사업시행자 지정일)",건축심의,사업시행인가,,"관리처분
계획인가",,이주,,착공,,,
,,,위치1(지번주소),위치2(도로명주소),공공/민간,일반/재촉지구,사업유형,,,최초,변경(최종),,,,최초,변경(최종),최초,변경(최종),이주시작일,이주종료일,,,,
401,강남구,일원개포한신,일원동 615-1,개포로110길 43 ,민간,일반,공동주택 재건축,관리처분,364,2017-07-13,2024-05-02,2018-01-25,2018-11-05,2020-04-28,2021-08-06,,2023-11-10,,2025-10-30,2026-03-31,,483,422,61
402,강남구,압구정아파트지구특별계획구역5,압구정동 490,압구정로 321,민간,일반,아파트지구 재건축,조합설립,1232,,,2017-08-19,2021-02-22,,,,,,,,,1401,1261,140
403,강남구,도곡삼호,도곡동 540,도곡로 242 ,민간,일반,공동주택 재건축,착공,144,2017-07-20,2022-04-22,2018-01-10,2018-06-19,2019-09-10,2020-09-16,2025-12-30,2022-10-25,,,,2024-02-06,308,260,48
404,강남구,압구정아파트지구특별계획구역3,압구정동369-1,압구정로29길 71 ,민간,일반,아파트지구 재건축,조합설립,3934,,,2018-09-12,2021-04-19,,,,,,,,,5175,4534,641
405,강남구,개포주공5단지,개포동 187,삼성로4길 17,민간,일반,공동주택 재건축,관리처분,940,2017-09-07,2017-09-07,2019-02-12,2020-12-01,2022-12-20,2023-10-12,,2025-09-29,,,,,1279,1134,145
406,강남구,압구정아파트지구특별계획구역4,압구정동 481,압구정로 309 ,민간,일반,아파트지구 재건축,조합설립,1341,2025-04-11,2025-04-11,2017-11-01,2021-02-10,,,,,,,,,1724,1519,205
407,강남구,"개포주공6,7단지",개포동 185,개포로 516 ,민간,일반,공동주택 재건축,사업시행,1960,2017-11-23,2024-04-26,2019-02-12,2021-01-22,2023-06-13,2024-11-11,,,,,,,2698,2353,345
408,강남구,개포우성4차,도곡동 465,언주로 117,민간,일반,공동주택 재건축,조합설립,459,2022-04-14,2022-04-14,2022-09-28,2023-09-22,,,,,,,,,1080,952,128
409,강남구,개포우성6차,개포동 658-1,언주로 3,민간,일반,공동주택 재건축,조합설립,270,2022-03-10,2022-03-10,2022-09-28,2024-04-24,,,,,,,,,417,395,22
410,강남구,개포우성7차,일원동 615,개포로110길 15,민간,일반,공동주택 재건축,조합설립,802,2022-04-14,2022-04-14,2022-11-11,2024-02-02,,,,,,,,,1234,1055,179
411,강남구,압구정아파트지구특별계획구역1,압구정동414,압구정로11길 17 ,민간,일반,아파트지구 재건축,추진위,1233,,,2020-11-06,,,,,,,,,,0,0,0
412,강남구,압구정아파트지구특별계획구역2,압구정동434,압구정로 151 ,민간,일반,아파트지구 재건축,조합설립,1924,2025-03-13,2025-03-13,2020-11-06,2021-04-12,,,,,,,,,2571,2250,321
413,강남구,"경우현(개포경남,우성3차,현대1차)",개포동 649,언주로 110,민간,일반,공동주택 재건축,구역지정,1499,2025-06-26,,,,,,,,,,,,2343,1978,365
414,강남구,논현동현,논현동 105,언주로 146길 18,민간,일반,공동주택 재건축,구역지정,548,2023-10-19,2025-10-16,,,,,,,,,,,905,779,126
415,강남구,대치미도,대치동 511,삼성로 150,민간,일반,공동주택 재건축,구역지정,2436,2025-07-17,,,,,,,,,,,,0,0,0
416,강남구,도곡우성,도곡동 934-10,남부순환로363길 49,민간,일반,공동주택 재건축,조합설립,390,2023-07-20,2025-11-13,2024-03-08,2025-03-31,,,,,,,,,548,460,88
417,강남구,압구정아파트지구특별계획구역6,압구정동 513,압구정로 401,민간,일반,아파트지구 재건축,조합설립,672,,,,2002-09-13,,,,,,,,,0,0,0
418,강남구,"역삼동(758,은하수,760)",역삼동 758,언주로 70길,민간,일반,아파트지구 재건축,착공,161,2018-05-31,2023-09-14,2010-07-08,2018-11-14,2019-11-26,2021-06-02,2025-10-02,2022-10-31,2025-03-24,,,2025-04-15,237,237,0
419,송파구,마천1,마천동 194-1,성내천로34길 12,민간,재촉,주택정비형 재개발,조합설립,2749,2020-01-02,2020-01-02,2020-11-26,2022-05-25,,,,,,,,,2413,2018,395
420,송파구,마천2,마천동 183,,민간,재촉,주택정비형 재개발,구역지정,1592,2012-07-26,2025-05-15,,,,,,,,,,,1729,1273,456
421,송파구,마천3,마천동 283,,민간,재촉,주택정비형 재개발,건축심의,3036,2017-06-01,2022-10-20,2018-05-03,2020-06-22,2024-04-30,,,,,,,,2364,1969,395
422,송파구,마천4,마천동 323,"마천로61마길 12-10
",민간,재촉,주택정비형 재개발,관리처분,1219,2012-07-26,2025-02-27,2014-04-17,2015-07-24,2019-02-26,2021-04-02,2021-04-02,2024-01-30,,2024-09-01,2025-11-30,,1372,1065,307
423,송파구,가락1차현대,문정동 3,"동남로 160
",민간,일반,공동주택 재건축,사업시행,514,2017-11-16,2022-12-01,2018-07-06,2019-07-19,2023-02-28,2025-01-24,2025-01-24,,,,,,842,717,125
424,송파구,가락극동,가락동 192,"동남로18길 9
",민간,일반,공동주택 재건축,조합설립,555,2017-11-23,2024-11-28,2018-07-03,2020-06-26,,,,,,,,,999,876,123
425,송파구,가락미륭,가락동 138,"동남로11길 4
",민간,일반,공동주택 재건축,사업시행,435,2020-02-06,2023-11-16,2020-08-07,2021-04-14,2023-07-21,2024-06-27,2024-06-27,,,,,,614,521,93
426,송파구,가락삼익맨숀,송파동 166,오금로32길 5,민간,일반,공동주택 재건축,사업시행,936,2017-09-21,2023-11-16,2018-05-04,2019-08-05,2022-09-27,2023-11-13,,,,,,,1531,1358,173
427,송파구,가락상아1차,오금동 166,오금로 405,민간,일반,공동주택 재건축,관리처분,226,2017-12-29,2024-04-11,2019-01-28,2020-06-19,2021-05-25,2022-05-20,2022-05-20,2025-01-06,2025-01-06,2025-07-01,2025-10-31,,405,342,63
428,송파구,가락우성1차,"가락동 96-1
",송파대로32길 8,민간,일반,공동주택 재건축,추진위,838,2024-02-29,2024-02-29,2024-12-24,,,,,,,,,,967,875,92
429,송파구,가락우창,오금동 164,동남로24길 6,민간,일반,공동주택 재건축,구역지정,264,2025-10-02,2025-10-02,,,,,,,,,,,471,401,70
430,송파구,가락프라자,가락동 199,문정로 125,민간,일반,공동주택 재건축,관리처분,672,2017-07-20,2024-04-11,2017-12-01,2019-03-28,2023-02-28,2024-01-11,2024-01-11,2025-03-14,2025-03-14,,,,1068,953,115
431,송파구,거여새마을,거여동 551-14,오금로68길 17,공공,재촉,주택정비형 재개발,조합설립,1775,2023-01-12,2023-01-12,,2023-02-23,,,,,,,,,1654,1186,468
432,송파구,대림가락,방이동 217,양재대로 1109,민간,일반,공동주택 재건축,조합설립,480,2021-10-07,2021-10-07,2022-04-08,2023-02-09,,,,,,,,,925,786,139
433,송파구,마천5,마천동 45,,민간,재촉,주택정비형 재개발,추진위,1618,2024-09-12,2024-09-12,2025-04-22,,,,,,,,,,2041,1633,408
434,송파구,미성크로바,신천동 17-6,-,민간,일반,아파트지구 재건축,착공,1472,2021-06-24,2021-11-18,2009-06-04,2014-07-15,2021-08-10,2017-07-28,2023-11-30,2018-07-05,2024-11-21,,,2022-01-27,1865,1667,198
435,송파구,삼환가락,가락동 176,오금로 432,민간,일반,공동주택 재건축,사업시행,648,2017-11-16,2024-08-29,2018-05-23,2019-04-29,2022-04-26,2024-02-28,2024-02-28,,,,,,1101,981,120
436,송파구,송파미성,송파동 161,오금로32길 10,민간,일반,공동주택 재건축,조합설립,378,2021-03-25,2021-03-25,2022-01-27,2023-05-31,,,,,,,,,810,686,124
437,송파구,오금현대,"오금동 43
",오금로35길 17,민간,일반,공동주택 재건축,추진위,1316,2024-07-25,,2025-03-19,,,,,,,,,,2436,2047,389
438,송파구,"잠실우성1,2,3차",잠실동 101-1,올림픽로4길 42,민간,일반,공동주택 재건축,조합설립,1842,2015-12-01,2024-01-11,2006-10-04,2021-06-11,,,,,,,,,2680,2338,342
439,송파구,잠실우성4차,잠실동 320,"백제고분로18길30
",민간,일반,공동주택 재건축,사업시행,555,2017-07-06,2023-02-22,2009-12-07,2018-04-02,2022-12-13,2023-08-31,,,,,,,825,732,93
440,송파구,잠실주공5단지,잠실동 27,송파대로567,민간,일반,아파트지구 재건축,건축심의,3930,2022-06-23,2024-09-05,2003-12-29,2013-12-19,2025-06-19,,,,,,,,6491,5680,811
441,송파구,"장미1,2,3차",신천동 7,올림픽로35길 104,민간,일반,아파트지구 재건축,조합설립,3522,2005-12-25,,2016-06-28,2020-03-24,,,,,,,,,0,0,0
442,송파구,한양2차,송파동 151,가락로192,민간,일반,아파트지구 재건축,조합설립,744,2005-12-15,2025-05-01,2010-07-26,2020-11-02,,,,,,,,,1346,1092,254
443,송파구,한양3차,방이동 225,양재대로1089,민간,일반,공동주택 재건축,사업시행,252,2019-08-29,2022-05-24,2020-01-29,2021-03-03,2022-12-20,2024-05-14,,,,,,,507,430,77
444,강동구,천호3,천호동 423-76,,민간,재촉,단독주택 재건축,착공,620,2013-12-12,2021-12-30,2014-05-12,2016-01-21,2017-10-24,2018-07-20,2024-06-27,2020-12-16,2021-03-24,,,2023-03-30,535,490,45
445,강동구,천호8,천호동 166-4,진황도로 36,민간,재촉,도시정비형 재개발,조합설립,196,2006-10-19,2021-11-04,2022-08-04,2024-01-16,,,,,,,,,520,363,157
446,강동구,명일신동아,명일동 44,고덕로 240,민간,일반,공동주택 재건축,구역지정,570,2025-11-06,,,,,,,,,,,,0,0,0
447,강동구,명일동고덕현대,"명일동 56
",,민간,일반,공동주택 재건축,구역지정,527,2025-11-06,,,,,,,,,,,,952,827,125
448,강동구,삼익그린2차,명일동 15,고덕로 210,민간,일반,아파트지구 재건축,조합설립,2400,2018-10-17,2018-10-17,2019-12-13,2021-07-05,,,,,,,,,0,0,0
449,강동구,삼익맨션,명일동 270,상암로 214,민간,일반,공동주택 재건축,조합설립,768,2020-02-13,2022-11-16,2020-08-27,2021-07-12,,,,,,,,,1169,1014,155
450,강동구,삼익파크,길동 54,명일로 293,민간,일반,공동주택 재건축,사업시행,1092,2020-02-13,2020-02-13,2020-08-27,2021-01-14,2022-07-26,2025-03-24,,,,,,,1665,1488,177
451,강동구,천호3-1,천호동 214-19,,민간,일반,주택정비형 재개발,구역지정,285,2025-09-04,,,,,,,,,,,,390,390,0
452,강동구,천호3-2,천호동 397-419,구천면로 244-10,민간,일반,주택정비형 재개발,건축심의,307,2022-07-21,2022-07-21,2023-04-07,2024-04-26,2025-01-15,,,,,,,,420,343,77
453,강동구,천호3-3,천호동 532-2,,민간,일반,주택정비형 재개발,조합설립,193,2023-07-27,2023-07-27,2024-02-20,2024-12-02,,,,,,,,,568,461,107
454,강동구,천호A1-1,천호동 467-61,선사로6길 12,공공,일반,주택정비형 재개발,조합설립,581,2024-11-28,,,2024-12-18,,,,,,,,,747,480,267
455,강동구,천호A1-2,"천호동 461-31
",,민간,일반,주택정비형 재개발,조합설립,630,2024-03-14,,,2025-09-15,,,,,,,,,781,645,136
456,강동구,천호우성아파트,천호동 19-1,구천면로 366,민간,일반,공동주택 재건축,관리처분,479,2020-02-20,2020-02-20,2020-02-20,2021-02-10,2023-08-29,2024-06-04,,2025-09-10,,,,,629,629,0
